event_id,mode,f_Hz,f_Hz_err,f_Hz_err_plus,f_Hz_err_minus,tau_ms,tau_ms_err,tau_ms_err_plus,tau_ms_err_minus,M_msun,chi,M_omega_R,M_omega_I,split,provenance,reference
GW190521,220,63.0,2.0,,,26.0,,8.0,6.0,330.0,0.86,,,train,measured_capano2021,Capano+2021 arXiv:2105.05238
GW190521,330,98.0,,89.0,7.0,40.0,,50.0,30.0,330.0,0.86,,,train,measured_capano2021,Capano+2021 arXiv:2105.05238
GW150914,220,247.640142,7.429204,,,4.070651,0.203533,,,68.2,0.67,0.52267871,0.08252205,train,kerr_fit_from_LVC_remnant,Abbott+2016 GW150914; remnant approx. from IMR
GW150914,221,175.573146,5.267194,,,3.792127,0.189606,,,68.2,0.67,0.37057137,0.08858312,train,kerr_fit_from_LVC_remnant,Abbott+2016 GW150914; remnant approx. from IMR
GW150914,330,340.507782,10.215233,,,4.574605,0.22873,,,68.2,0.67,0.71868869,0.07343114,train,kerr_fit_from_LVC_remnant,Abbott+2016 GW150914; remnant approx. from IMR
GW170104,220,323.977857,9.719336,,,3.008515,0.150426,,,51.0,0.64,0.51134604,0.08349637,train,kerr_fit_from_LVC_remnant,Abbott+2017 GW170104
GW170104,221,224.764977,6.742949,,,2.864792,0.14324,,,51.0,0.64,0.35475474,0.08768525,train,kerr_fit_from_LVC_remnant,Abbott+2017 GW170104
GW170104,330,449.306873,13.479206,,,3.350902,0.167545,,,51.0,0.64,0.70915739,0.0749649,train,kerr_fit_from_LVC_remnant,Abbott+2017 GW170104
GW190412,220,438.676823,13.160305,,,2.297948,0.114897,,,38.5,0.67,0.52267871,0.08252205,test,kerr_fit_from_LVC_remnant,Abbott+2020 GW190412
GW190412,221,311.015287,9.330459,,,2.140717,0.107036,,,38.5,0.67,0.37057137,0.08858312,test,kerr_fit_from_LVC_remnant,Abbott+2020 GW190412
GW190412,330,603.185214,18.095556,,,2.582438,0.129122,,,38.5,0.67,0.71868869,0.07343114,test,kerr_fit_from_LVC_remnant,Abbott+2020 GW190412
GW190814,220,523.500789,15.705024,,,1.441911,0.072096,,,25.7,0.28,0.41637041,0.08778982,test,kerr_fit_from_LVC_remnant,Abbott+2020 GW190814
GW190814,221,275.713217,8.271396,,,1.796981,0.089849,,,25.7,0.28,0.21929064,0.0704432,test,kerr_fit_from_LVC_remnant,Abbott+2020 GW190814
GW190814,330,792.624823,23.778745,,,1.463421,0.073171,,,25.7,0.28,0.63042029,0.08649945,test,kerr_fit_from_LVC_remnant,Abbott+2020 GW190814
GW200129,220,274.372602,8.231178,,,3.813445,0.190672,,,63.0,0.7,0.53494691,0.08137156,test,kerr_fit_from_LVC_remnant,Abbott+2021/2023 GWTC-3 remnant approx.
GW200129,221,198.803126,5.964094,,,3.474364,0.173718,,,63.0,0.7,0.38760837,0.08931303,test,kerr_fit_from_LVC_remnant,Abbott+2021/2023 GWTC-3 remnant approx.
GW200129,330,373.922956,11.217689,,,4.325283,0.216264,,,63.0,0.7,0.7290412,0.07174234,test,kerr_fit_from_LVC_remnant,Abbott+2021/2023 GWTC-3 remnant approx.
