record_id,doi,url,title,publication_date,version,creators,files,file_count,access,updated,conceptrecid,disposition,flags,alias,notes
22050978,10.5281/zenodo.22050978,https://zenodo.org/records/22050978,August 2026 status note: live stack and walked-back prize language,2026-08-21,,"Simons, Jonathan",06_status_errata.pdf,1,open,2026-08-26T23:43:24.046546+00:00,22045483,KEEP,,Status and correction index,Single dignified public index; title is intentionally a status sheet.
22050976,10.5281/zenodo.22050976,https://zenodo.org/records/22050976,A Ring Lemma for Band-Limited Vorticity Direction and a Conditional Spectral Non-Dispersal Criterion,2026-08-21,,"simons, jonathan",02_ring_lemma_snd_conditional.pdf,1,open,2026-08-21T21:47:23.563387+00:00,20518056,KEEP,,Unaugmented NS + SND hypothesis framing (Ring + SND conditional),Honest conditional framing; SND remains an open hypothesis for unaugmented NS.
22050975,10.5281/zenodo.22050975,https://zenodo.org/records/22050975,Phi-Renormalization for Axisymmetric Navier-Stokes with Swirl: Algebraic Cancellation of the 1/r^4 Axis Term,2026-08-21,,"Simons, Jonathan R.",01_phi_renormalization.pdf,1,open,2026-08-21T21:47:17.729990+00:00,20405596,KEEP,,Φ-renorm swirl algebra (short concept),Companion short concept to 22050974.
22050974,10.5281/zenodo.22050974,https://zenodo.org/records/22050974,Phi-Renormalization for Axisymmetric Navier-Stokes with Swirl: Algebraic Cancellation of the 1/r^4 Axis Term,2026-08-21,,"Simons, Jonathan R.",01_phi_renormalization.pdf,1,open,2026-08-21T21:47:11.897253+00:00,20405404,KEEP,,Φ-renorm swirl algebra (long concept),Q1-augmented / Phi system only.
22050965,10.5281/zenodo.22050965,https://zenodo.org/records/22050965,Explicit Decay Rate and Quantitative Threshold for a Shell-Flux Gronwall Inequality under SND,2026-08-21,,"Simons, Jonathan Robert",03_t2_shell_flux_gronwall.pdf,1,open,2026-08-21T21:46:46.565155+00:00,20552079,KEEP,,T2 shell-flux Gronwall under SND,Conditional on SND only.
22050963,10.5281/zenodo.22050963,https://zenodo.org/records/22050963,"Route C: A Spectral Approach to Zero-Density Estimates, Conditional on Two Analytic Gaps",2026-08-21,,"Simons, Jonathan",05_route_c_conditional.pdf,1,open,2026-08-21T21:46:41.317618+00:00,20518249,KEEP,,Route C exploratory (zero-density architecture),Exploratory conditional note. RH not proved.
22050962,10.5281/zenodo.22050962,https://zenodo.org/records/22050962,"The Inverse-GCD Operator Q_N (Q6): Definitions, a Restricted Rayleigh Bound, and an Exploratory Spectral Programme",2026-08-21,,"Simons, Jonathan R.",04_q6_inverse_gcd.pdf,1,open,2026-08-21T21:46:35.740376+00:00,20405588,KEEP,,Möbius–GCD Q6 v2.1 (crown-jewel operator note),Primary public Q6 home. RH not proved; Q6 has no RH claim.
21071991,10.5281/zenodo.21071991,https://zenodo.org/records/21071991,Phi-Renormalization for Axisymmetric-with-Swirl Navier–Stokes: A Conditional Reduction of Global Regularity,2026-06-30,v1,"Simons, Jonathan",Simons_PhiRenorm_Swirl_2026-06-30.tex | Simons_PhiRenorm_Swirl_2026-06-30.pdf,2,open,2026-08-21T12:44:02.248833+00:00,21071990,KEEP,NEEDS_AUDIT_FIX,PhiRenorm June 30 conditional (open ||u^r/r||_∞),KEEP as conditional Phi-renorm deposit. Open gap: ||u^r/r||_∞. Aug 22 audit flagged possible Hdot^2.6 labels — NEEDS_AUDIT_FIX.
20552400,10.5281/zenodo.20552400,https://zenodo.org/records/20552400,A Universal Non-Concentration Principle: SND ≡ GNC ≡ Bridge,2026-06-05,,"Simons, Jonathan Robert",SND_GNC_BRIDGE_UNIFIED.pdf,1,open,2026-08-26T23:43:41.160678+00:00,20552399,PARK/ARCHIVE,,Triple Lock SND ≡ GNC ≡ Bridge,URGENT title fix. Bridge packaging retired. Settled pack expected title banner; live title may already be cleaned.
20552223,10.5281/zenodo.20552223,https://zenodo.org/records/20552223,"A Quantum Field Theory on the Prime Manifold: Navier–Stokes, Riemann Hypothesis, and Goldbach Under a Single Hamiltonian",2026-06-05,,"Simons, Jonathan Robert",NS_RH_GOLDBACH_THREE_IN_ONE.tex | THREE_IN_ONE_NS_RH_GOLDBACH.pdf,2,open,2026-08-26T23:43:49.206308+00:00,20272621,PARK/ARCHIVE,,,Not in settled Aug-2026 KEEP set. Categorical PARK (unconditional/Millennium/RH/SFE/banner packaging).
