record_id,doi,record_url,title,publication_date,version,creator_names,files,file_count
,,,,2026-06-30,v1,"Simons, Jonathan",Simons_PhiRenorm_Swirl_2026-06-30.pdf | Simons_PhiRenorm_Swirl_2026-06-30.tex,2
,,,,2026-06-05,,"Simons, Jonathan Robert",BSD_SPECTRAL_FRAMEWORK.pdf | BSD_SPECTRAL_FRAMEWORK.tex,2
,,,,2026-06-05,,"Simons, Jonathan Robert",SND_GNC_BRIDGE_UNIFIED.pdf,1
21071991,10.5281/zenodo.21071991,https://zenodo.org/records/21071991,Phi-Renormalization for Axisymmetric-with-Swirl Navier–Stokes: A Conditional Reduction of Global Regularity,2026-06-05,,"Simons, Jonathan Robert",THREE_IN_ONE_NS_RH_GOLDBACH.pdf | NS_RH_GOLDBACH_THREE_IN_ONE.tex,2
20552682,10.5281/zenodo.20552682,https://zenodo.org/records/20552682,The Prime Lattice as a Prototype for the BSD Hamiltonian: Rank as Spectral Multiplicity and the Zeta-Function Case of the Birch and Swinnerton-Dyer Conjecture,2026-06-05,,"Simons, Jonathan Robert",THREE_IN_ONE_QUANTUM_MILLENNIUM.pdf | QUANTUM_MILLENNIUM_NEW.tex,2
20552400,10.5281/zenodo.20552400,https://zenodo.org/records/20552400,A Universal Non-Concentration Principle: SND ≡ GNC ≡ Bridge,2026-06-05,,"Simons, Jonathan Robert",T2_CONDITIONAL_CLOSURE.pdf | T2_CONDITIONAL_CLOSURE.tex,2
20552223,10.5281/zenodo.20552223,https://zenodo.org/records/20552223,"A Quantum Field Theory on the Prime Manifold: Navier–Stokes, Riemann Hypothesis, and Goldbach Under a Single Hamiltonian",2026-06-03,,"Simons, Jonathan",d8fcfda3f_RouteC_fresh.tex,1
20552171,10.5281/zenodo.20552171,https://zenodo.org/records/20552171,"A Quantum Field Theory on the Prime Manifold: Navier–Stokes, Riemann, and Goldbach Under a Single Hamiltonian",2026-06-03,v1,"simons, jonathan",98d1b1cc9_NS_UPLOAD_ZENODO.tex,1
20552080,10.5281/zenodo.20552080,https://zenodo.org/records/20552080,Explicit Decay Rate and Quantitative Threshold for the SND Gronwall Inequality: T2 Conditional Closure and GNC–Goldbach Bridge,2026-05-27,,"Simons, Jonathan R.",Simons_GCD_Spectral_Attractor_Unified.tex,1
20518388,10.5281/zenodo.20518388,https://zenodo.org/records/20518388,"Route C: Spectral Closure of the Zero-Density Law — Conditional on Two Analytic Gaps""",2026-05-27,,"Simons, Jonathan R.",Simons_PhiRenorm_Axisymmetric.tex,1
20518057,10.5281/zenodo.20518057,https://zenodo.org/records/20518057,"Spectral Non-Dispersal, the Ring Lemma, and a Conditional Regularity Framework for the Navier–Stokes Equations on T³",2026-05-27,,"Simons, Jonathan R.",Simons_Montgomery_Dyson_Q6.tex,1
20405599,10.5281/zenodo.20405599,https://zenodo.org/records/20405599,"The GCD Spectral Attractor: A Unified Structural Framework for Navier-Stokes, the Riemann Hypothesis, and the Simons Field Equation",2026-05-27,,"Simons, Jonathan R.",Simons_QN_Operator_RH_Spectral.tex,1
20405597,10.5281/zenodo.20405597,https://zenodo.org/records/20405597,Phi-Renormalization and Axisymmetric-with-Swirl Navier-Stokes: Algebraic Cancellation of the Axis Singularity,2026-05-27,,"Simons, Jonathan R.",Simons_Goldbach_Q6_Spectral.tex,1
20405593,10.5281/zenodo.20405593,https://zenodo.org/records/20405593,The Montgomery–Dyson Coincidence as a Q6 Prime Lattice Eigenvalue Identity,2026-05-27,,"Simons, Jonathan R.",RingLemma_Borromean_Simons.tex | RingLemma_Borromean_Simons.html,2
20405591,10.5281/zenodo.20405591,https://zenodo.org/records/20405591,"The Q_N Operator: Self-Adjointness, Spectral Floor, and a Route to the Riemann Hypothesis via Renormalized GCD Eigenvalues",2026-05-27,,"Simons, Jonathan R.",Simons_NS_GlobalRegularity_T3.html | Simons_NS_GlobalRegularity_T3.tex,2
20405589,10.5281/zenodo.20405589,https://zenodo.org/records/20405589,A Q6 Spectral Route to the Strong Goldbach Conjecture: Spectral Non-Concentration and the Inverse-GCD Operator,2026-05-27,,"Simons, Jonathan R.",PhiRenorm_TrackB.pdf,1
20405585,10.5281/zenodo.20405585,https://zenodo.org/records/20405585,"Borromean Triads, the Ring Lemma, and Spectral Non-Dispersal: A Conditional Regularity Framework for 3D Navier-Stokes",2026-05-27,,"Simons, Jonathan R.",Paper1_GCD_Spectral.pdf,1
20405526,10.5281/zenodo.20405526,https://zenodo.org/records/20405526,"Global Regularity of the Navier-Stokes Equations on T3: Spectral Non-Dispersal, the Ring Lemma, Phi-Renormalization, and the Shell-Conditioned Commutator Estimate",2026-05-18,,"Simons, Jonathan",Paper2_NS_Regularity_SND.pdf | image.png,2
