system_name,period_days
Kepler-334,25.09849
Kepler-251,30.133001
Kepler-729,3.166353714
Kepler-687,20.50586978
Kepler-119,2.422082
Kepler-1115,23.5540725
Kepler-1073,8.67888593
HD 16175,990.0
Kepler-405,10.613839
KIC 10001893,0.32528
Kepler-899,19.17891293
Kepler-1255,36.2919336
K2-55,2.849258
Kepler-1447,56.6747285
K2-108,4.733999
TOI-220,10.695264
HD 23472,3.97664
HD 215497,566.0
TOI-5726,5.491125215
GJ 338 B,24.422
TOI-2285,13.635109
Kepler-659,17.671796
HD 22946,9.573083
Kepler-1118,38.6715075
Kepler-133,31.517586
Kepler-620,12.91375431
Kepler-92,13.749
HAT-P-51,4.21802091
Kepler-179,2.735926
Kepler-166,7.650254
Kepler-595,12.38602
Kepler-28,8.99
Kepler-210,2.453234
Kepler-782,158.6853308
Kepler-414,7.171
Kepler-238,50.447
Kepler-664,2.525593315
Kepler-1123,4.33946454
Kepler-1098,2.543072855
HAT-P-49,2.69155
XO-4,4.12508
Kepler-1084,2.05333679
Kepler-520,19.67416124
nu Oph,529.93
Kepler-1895,6.070290089
HD 171238,1532.0
Kepler-1669,9.51216
Kepler-339,10.558345
Kepler-351,142.544247
HAT-P-29,5.72319
WASP-12,1.091418901
WASP-54,3.69364
WASP-88,4.954
WASP-100,2.84938
WASP-26,2.7566
WASP-6,3.36101
WASP-47,589.57
Kepler-1373,1.29123275
Kepler-1104,5.03728015
HD 240210,501.75
CoRoT-5,4.0378962
TrES-3,1.30618581
Kepler-51,130.194
HD 207832,1155.7
HAT-P-39,3.54387
Kepler-18,7.64159
Kepler-452,384.843
GJ 3998,2.65033
WASP-46,1.43036763
WASP-79,3.662392
Kepler-46,57.011
Kepler-1499,44.2008
OGLE-TR-111,4.0144463
HAT-P-13,2.91625
HAT-P-13,446.27
MOA-2009-BLG-387L,1980.0
Kepler-18,3.504725
Kepler-18,14.85888
Kepler-33,13.17562
Kepler-32,8.7522
Kepler-166,1.554003928
Kepler-844,2.613020856
Kepler-327,2.549575
Kepler-33,5.66793
Kepler-1455,49.276764
Kepler-353,5.795278
HIP 41378,1114.0
WASP-62,4.41195
TRAPPIST-1,1.510826
WASP-136,5.215357
HD 109749,5.239891
HD 149143,4.07182
HD 231701,141.63
TOI-1683,3.0575356
Kepler-213,2.46236
V830 Tau,4.927
Kepler-52,7.8773565
Kepler-166,34.260281
GJ 1214,1.580404531
HAT-P-26,4.23452
GJ 3634,2.64561
HAT-P-4,3.056536
OGLE-TR-132,1.689868
OGLE-TR-56,1.2119189
Kepler-55,27.9481449
HAT-P-18,5.508023
Kepler-46,33.60134
WTS-1,3.352057
HD 37605,55.01292
HIP 14810,6.673892
HIP 14810,147.747
HD 17674,623.8
HD 20329,0.926118
WASP-5,1.6284279
HAT-P-28,3.257215
47 UMa,1078.0
47 UMa,2391.0
BD-08 2823,237.6
HD 40307,4.3123
HD 40307,51.76
WASP-59,7.919585
HD 190984,4885.0
HIP 14810,981.8
HD 207832,160.07
HD 1605,577.2
Kepler-283,11.008151
HD 33142,330.0
CoRoT-6,8.886593
HD 110014,835.477
HD 103774,5.8881
HD 109271,7.8543
HD 10647,989.2
HD 1605,2149.0
HD 148164,328.55
HD 211810,1558.0
Kepler-356,13.121632
Kepler-968,7.685
NY Vir,3160.0
HIP 5158,345.72
HD 134987,5000.0
WASP-64,1.5732918
PH1,138.317
Kepler-297,38.871826
Kepler-160,30.0
HD 191939,28.579743
PSR B1257+12,25.262
PSR B1257+12,98.2114
Kepler-1178,31.80634
Kepler-805,30.8638931
Kepler-158,0.645088
K2-368,20.201085
HD 148156,1027.0
HD 156411,842.2
