System,Current_Periods,Gap_Start,Gap_End,Suggested_Periods,Confidence_Level,Quality_Score
"Kepler-334",5.4703;12.7580;25.0985,5.4703,12.7580,8.2055;12.3082,HIGH,5.72
"Kepler-334",5.4703;12.7580;25.0985,12.7580,25.0985,25.5160,HIGH,3.62
"Kepler-251",4.7909;16.5140;30.1330;99.6402,4.7909,16.5140,7.1864;10.7796;16.1694,HIGH,5.28
"Kepler-251",4.7909;16.5140;30.1330;99.6402,16.5140,30.1330,22.0187;29.3583,MEDIUM,6.91
"Kepler-251",4.7909;16.5140;30.1330;99.6402,30.1330,99.6402,45.1995;67.7993,HIGH,6.17
"Kepler-119",2.4221;4.1251,2.4221,4.1251,4.0368,HIGH,6.89
"Kepler-1073",2.5048;4.0258;8.6789,2.5048,4.0258,4.1746,HIGH,7.58
"Kepler-1073",2.5048;4.0258;8.6789,4.0258,8.6789,5.3678;7.1570,LOW,9.78
"Kepler-405",10.6138;29.7267,10.6138,29.7267,17.6897;29.4829,MEDIUM,7.08
"KIC 10001893",0.2197;0.3253;0.8116,0.2197,0.3253,0.3296,HIGH,4.65
"KIC 10001893",0.2197;0.3253;0.8116,0.3253,0.8116,0.4337;0.5783;0.7710,MEDIUM,7.77
"HD 23472",3.9766;7.9075;12.1622;17.6671;29.7975,3.9766,7.9075,7.9533,HIGH,3.09
"HD 23472",3.9766;7.9075;12.1622;17.6671;29.7975,7.9075,12.1622,11.8613,HIGH,5.27
"HD 23472",3.9766;7.9075;12.1622;17.6671;29.7975,12.1622,17.6671,18.2433,HIGH,5.58
"HD 23472",3.9766;7.9075;12.1622;17.6671;29.7975,17.6671,29.7975,29.4451,HIGH,6.40
"HD 215497",3.9340;566.0000,3.9340,566.0000,7.8681;15.7362;31.4723;62.9446;125.8893;251.7786;503.5571,HIGH,6.46
"HD 22946",4.0403;9.5731;47.4249,4.0403,9.5731,6.0604;9.0907,HIGH,6.27
"HD 22946",4.0403;9.5731;47.4249,9.5731,47.4249,14.3596;21.5394;32.3092,HIGH,6.04
"Kepler-133",8.1300;31.5176,8.1300,31.5176,16.2600,HIGH,4.84
"Kepler-92",13.7490;26.7230;49.3568,13.7490,26.7230,27.4980,HIGH,4.21
"Kepler-92",13.7490;26.7230;49.3568,26.7230,49.3568,35.6307;47.5076,MEDIUM,7.33
"Kepler-179",2.7359;6.4001,2.7359,6.4001,4.1039;6.1558,HIGH,5.82
"Kepler-166",1.5540;7.6503;34.2603,1.5540,7.6503,3.1080;6.2160,HIGH,6.41
"Kepler-166",1.5540;7.6503;34.2603,7.6503,34.2603,11.4754;17.2131;25.8196,MEDIUM,6.32
"Kepler-595",12.3860;25.3029,12.3860,25.3029,24.7720,HIGH,3.87
"Kepler-28",5.9100;8.9900,5.9100,8.9900,8.8650,HIGH,4.71
"Kepler-210",2.4532;7.9725,2.4532,7.9725,3.2710;4.3613;5.8151;7.7534,MEDIUM,7.27
"Kepler-414",4.7000;7.1710,4.7000,7.1710,7.0500,HIGH,4.86
"Kepler-238",2.0909;6.1556;13.2335;23.6540;50.4470,2.0909,6.1556,4.1818,HIGH,5.43
"Kepler-238",2.0909;6.1556;13.2335;23.6540;50.4470,6.1556,13.2335,8.2074;10.9432,LOW,9.69
"Kepler-238",2.0909;6.1556;13.2335;23.6540;50.4470,13.2335,23.6540,17.6447;23.5263,MEDIUM,6.21
"Kepler-238",2.0909;6.1556;13.2335;23.6540;50.4470,23.6540,50.4470,31.5387;42.0516,LOW,9.44
"Kepler-520",5.2110;19.6742,5.2110,19.6742,6.9481;9.2641;12.3521;16.4695,MEDIUM,8.99
"nu Oph",529.9300;3180.6000,529.9300,3180.6000,1059.8600;2119.7200,HIGH,4.18
"Kepler-1669",1.6093;4.7294;9.5122,1.6093,4.7294,3.2186,HIGH,5.52
"Kepler-1669",1.6093;4.7294;9.5122,4.7294,9.5122,9.4588,HIGH,3.08
"Kepler-339",4.9777;6.9881;10.5583,4.9777,6.9881,6.6369,MEDIUM,7.85
"Kepler-339",4.9777;6.9881;10.5583,6.9881,10.5583,10.4821,HIGH,4.36
"Kepler-351",37.0549;57.2481;142.5442,37.0549,57.2481,55.5824,HIGH,5.50
"Kepler-351",37.0549;57.2481;142.5442,57.2481,142.5442,76.3308;101.7744;135.6992,MEDIUM,7.71
"WASP-47",0.7896;4.1592;9.0305;589.5700,0.7896,4.1592,1.5792;3.1584,HIGH,5.45
"WASP-47",0.7896;4.1592;9.0305;589.5700,4.1592,9.0305,5.5455;7.3940,LOW,10.03
"WASP-47",0.7896;4.1592;9.0305;589.5700,9.0305,589.5700,18.0610;36.1220;72.2440;144.4880;288.9760;577.9521,HIGH,3.44
"Kepler-51",45.1540;85.3120;130.1940;264.2840,45.1540,85.3120,90.3080,MEDIUM,5.57
"Kepler-51",45.1540;85.3120;130.1940;264.2840,85.3120,130.1940,127.9680,HIGH,4.87
"Kepler-51",45.1540;85.3120;130.1940;264.2840,130.1940,264.2840,260.3880,HIGH,3.55
"HD 207832",160.0700;1155.7000,160.0700,1155.7000,320.1400;640.2800,MEDIUM,8.16
"Kepler-18",3.5047;7.6416;14.8589,3.5047,7.6416,4.6730;6.2306,MEDIUM,9.19
"Kepler-18",3.5047;7.6416;14.8589,7.6416,14.8589,15.2832,HIGH,4.19
"GJ 3998",2.6503;13.7270;41.7800,2.6503,13.7270,3.9755;5.9632;8.9449;13.4173,HIGH,5.36
"GJ 3998",2.6503;13.7270;41.7800,13.7270,41.7800,27.4540,HIGH,5.23
"Kepler-46",6.7666;33.6013;57.0110,6.7666,33.6013,10.1499;15.2248;22.8372,HIGH,5.98
"Kepler-46",6.7666;33.6013;57.0110,33.6013,57.0110,56.0022,HIGH,6.70
"HAT-P-13",2.9162;446.2700,2.9162,446.2700,5.8325;11.6650;23.3300;46.6600;93.3200;186.6400;373.2800,HIGH,5.15
"Kepler-33",5.6679;13.1756;21.7760;31.7844;41.0290,5.6679,13.1756,8.5019;12.7528,HIGH,5.61
"Kepler-33",5.6679;13.1756;21.7760;31.7844;41.0290,13.1756,21.7760,21.9594,HIGH,6.22
"Kepler-33",5.6679;13.1756;21.7760;31.7844;41.0290,21.7760,31.7844,32.6639,HIGH,5.35
"Kepler-33",5.6679;13.1756;21.7760;31.7844;41.0290,31.7844,41.0290,42.3792,HIGH,6.79
"Kepler-32",0.7430;2.8960;5.9012;8.7522;22.7802,0.7430,2.8960,1.4859,HIGH,4.58
"Kepler-32",0.7430;2.8960;5.9012;8.7522;22.7802,2.8960,5.9012,5.7920,HIGH,3.74
"Kepler-32",0.7430;2.8960;5.9012;8.7522;22.7802,5.9012,8.7522,8.8519,HIGH,4.56
"Kepler-32",0.7430;2.8960;5.9012;8.7522;22.7802,8.7522,22.7802,13.1283;19.6925,MEDIUM,9.25
"Kepler-327",2.5496;5.2123;13.9695,2.5496,5.2123,5.0991,HIGH,3.91
"Kepler-327",2.5496;5.2123;13.9695,5.2123,13.9695,10.4247,HIGH,5.95
"Kepler-353",5.7953;8.4109,5.7953,8.4109,8.6929,HIGH,5.62
"HIP 41378",15.5721;31.7065;131.0000;1084.0000;1114.0000,15.5721,31.7065,31.1442,HIGH,3.70
"HIP 41378",15.5721;31.7065;131.0000;1084.0000;1114.0000,31.7065,131.0000,63.4130;126.8259,HIGH,4.06
"HIP 41378",15.5721;31.7065;131.0000;1084.0000;1114.0000,131.0000,1084.0000,262.0000;524.0000;1048.0000,HIGH,3.91
"HIP 41378",15.5721;31.7065;131.0000;1084.0000;1114.0000,1084.0000,1114.0000,2168.0000,HIGH,4.68
"TRAPPIST-1",1.5108;2.4219;4.0492;6.1010;9.2075;12.3524;18.7729,1.5108,2.4219,2.5180,HIGH,7.71
"TRAPPIST-1",1.5108;2.4219;4.0492;6.1010;9.2075;12.3524;18.7729,2.4219,4.0492,4.0366,HIGH,5.96
"TRAPPIST-1",1.5108;2.4219;4.0492;6.1010;9.2075;12.3524;18.7729,4.0492,6.1010,6.0738,HIGH,4.22
"TRAPPIST-1",1.5108;2.4219;4.0492;6.1010;9.2075;12.3524;18.7729,6.1010,9.2075,9.1515,HIGH,4.31
"TRAPPIST-1",1.5108;2.4219;4.0492;6.1010;9.2075;12.3524;18.7729,9.2075,12.3524,18.4151,HIGH,4.81
"TRAPPIST-1",1.5108;2.4219;4.0492;6.1010;9.2075;12.3524;18.7729,12.3524,18.7729,18.5287,HIGH,4.66
"Kepler-213",2.4624;4.8230,2.4624,4.8230,4.9247,HIGH,3.83
"Kepler-52",7.8774;16.3850;36.4452,7.8774,16.3850,15.7547,MEDIUM,4.80
"Kepler-52",7.8774;16.3850;36.4452,16.3850,36.4452,24.5775,HIGH,6.07
"Kepler-55",2.2111;4.6175;10.1985;27.9481;42.1516,2.2111,4.6175,4.4222,MEDIUM,5.01
"Kepler-55",2.2111;4.6175;10.1985;27.9481;42.1516,4.6175,10.1985,6.9263,HIGH,6.42
"Kepler-55",2.2111;4.6175;10.1985;27.9481;42.1516,10.1985,27.9481,15.2978;22.9467,MEDIUM,8.60
"Kepler-55",2.2111;4.6175;10.1985;27.9481;42.1516,27.9481,42.1516,41.9222,HIGH,4.27
"HD 37605",55.0129;2720.0000,55.0129,2720.0000,110.0258;220.0517;440.1034;880.2067;1760.4134,MEDIUM,7.58
"HIP 14810",6.6739;147.7470;981.8000,6.6739,147.7470,13.3478;26.6956;53.3911;106.7823,MEDIUM,8.23
"HIP 14810",6.6739;147.7470;981.8000,147.7470,981.8000,295.4940;590.9880,HIGH,5.57
"47 UMa",1078.0000;2391.0000;14002.0000,1078.0000,2391.0000,1617.0000,HIGH,6.21
"47 UMa",1078.0000;2391.0000;14002.0000,2391.0000,14002.0000,3188.0000;4250.6667;5667.5556;7556.7407;10075.6543;13434.2058,MEDIUM,7.59
"BD-08 2823",5.6000;237.6000,5.6000,237.6000,11.2000;22.4000;44.8000;89.6000;179.2000,HIGH,4.46
"HD 40307",4.3123;9.6184;20.4320;51.7600;197.8000,4.3123,9.6184,6.4684,HIGH,5.93
"HD 40307",4.3123;9.6184;20.4320;51.7600;197.8000,9.6184,20.4320,19.2368,MEDIUM,5.91
"HD 40307",4.3123;9.6184;20.4320;51.7600;197.8000,20.4320,51.7600,40.8640,MEDIUM,7.57
"HD 40307",4.3123;9.6184;20.4320;51.7600;197.8000,51.7600,197.8000,69.0133;92.0178;122.6904;163.5872,MEDIUM,9.05
"HD 1605",577.2000;2149.0000,577.2000,2149.0000,962.0000;1603.3333,MEDIUM,8.64
"Kepler-283",11.0082;92.7437,11.0082,92.7437,22.0163;44.0326;88.0652,HIGH,4.38
"HD 33142",89.9000;330.0000;810.2000,89.9000,330.0000,149.8333;249.7222,MEDIUM,8.76
"HD 33142",89.9000;330.0000;810.2000,330.0000,810.2000,440.0000;586.6667;782.2222,MEDIUM,7.34
"HD 109271",7.8543;30.9300,7.8543,30.9300,15.7086,HIGH,4.08
"HD 148164",328.5500;5062.0000,328.5500,5062.0000,492.8250;739.2375;1108.8563;1663.2844;2494.9266;3742.3898,MEDIUM,6.19
"Kepler-356",4.6127;13.1216,4.6127,13.1216,7.6878;12.8130,MEDIUM,7.60
"Kepler-968",3.6930;5.7094;7.6850,3.6930,5.7094,5.5395,HIGH,5.53
"Kepler-968",3.6930;5.7094;7.6850,5.7094,7.6850,11.4188,HIGH,4.98
"NY Vir",3160.0000;8799.0000,3160.0000,8799.0000,5266.6667;8777.7778,MEDIUM,6.88
"HIP 5158",345.7200;9017.7600,345.7200,9017.7600,518.5800;777.8700;1166.8050;1750.2075;2625.3113;3937.9669;5906.9503;8860.4255,HIGH,5.36
"HD 134987",258.1800;5000.0000,258.1800,5000.0000,516.3600;1032.7200;2065.4399;4130.8798,HIGH,5.87
"Kepler-297",38.8718;74.9201;150.0190,38.8718,74.9201,77.7437,HIGH,4.62
"Kepler-297",38.8718;74.9201;150.0190,74.9201,150.0190,149.8403,HIGH,2.86
"Kepler-160",4.3094;13.6994;30.0000,4.3094,13.6994,5.7459;7.6612;10.2149;13.6198,MEDIUM,6.82
"Kepler-160",4.3094;13.6994;30.0000,13.6994,30.0000,22.8324,MEDIUM,9.03
"HD 191939",8.8803;28.5797;38.3530;101.1200;284.0000;2898.0000,8.8803,28.5797,11.8404;15.7872;21.0497;28.0662,MEDIUM,7.07
"HD 191939",8.8803;28.5797;38.3530;101.1200;284.0000;2898.0000,28.5797,38.3530,57.1595,HIGH,4.82
"HD 191939",8.8803;28.5797;38.3530;101.1200;284.0000;2898.0000,38.3530,101.1200,76.7061,HIGH,6.26
"HD 191939",8.8803;28.5797;38.3530;101.1200;284.0000;2898.0000,101.1200,284.0000,168.5333;280.8889,MEDIUM,7.17
"HD 191939",8.8803;28.5797;38.3530;101.1200;284.0000;2898.0000,284.0000,2898.0000,426.0000;639.0000;958.5000;1437.7500;2156.6250,MEDIUM,6.16
