system_name,planet_name,period_days
Kepler-334,Kepler-334 d,25.09849
Kepler-251,Kepler-251 d,30.133001
Kepler-729,Kepler-729 b,3.166353714
Kepler-687,Kepler-687 b,20.50586978
Kepler-119,Kepler-119 b,2.422082
Kepler-1115,Kepler-1115 b,23.5540725
Kepler-1073,Kepler-1073 b,8.67888593
HD 16175,HD 16175 b,990.0
Kepler-405,Kepler-405 b,10.613839
KIC 10001893,KIC 10001893 c,0.32528
Kepler-899,Kepler-899 b,19.17891293
Kepler-1255,Kepler-1255 b,36.2919336
K2-55,K2-55 b,2.849258
Kepler-1447,Kepler-1447 b,56.6747285
K2-108,K2-108 b,4.733999
TOI-220,TOI-220 b,10.695264
HD 23472,HD 23472 d,3.97664
HD 215497,HD 215497 c,566.0
TOI-5726,TOI-5726.01,5.491125215
GJ 338 B,GJ 338 B b,24.422
TOI-2285,TOI-2285 b,13.635109
Kepler-659,Kepler-659 b,17.671796
HD 22946,TOI-411 c,9.573083
Kepler-1118,Kepler-1118 b,38.6715075
Kepler-133,Kepler-133 c,31.517586
Kepler-620,Kepler-620 b,12.91375431
Kepler-92,Kepler-92 b,13.749
HAT-P-51,HAT-P-51 b,4.21802091
Kepler-179,Kepler-179 b,2.735926
Kepler-166,Kepler-166 b,7.650254
Kepler-595,Kepler-595 c,12.38602
Kepler-28,Kepler-28 c,8.99
Kepler-210,Kepler-210 b,2.453234
Kepler-782,Kepler-782 b,158.6853308
Kepler-414,Kepler-414 c,7.171
Kepler-238,Kepler-238 f,50.447
Kepler-664,Kepler-664 b,2.525593315
Kepler-1123,Kepler-1123 b,4.33946454
Kepler-1098,Kepler-1098 b,2.543072855
HAT-P-49,HAT-P-49 b,2.69155
XO-4,XO-4 b,4.12508
Kepler-1084,Kepler-1084 b,2.05333679
Kepler-520,Kepler-520 b,19.67416124
nu Oph,nu Oph b,529.93
Kepler-1895,Kepler-1895 b,6.070290089
HD 171238,HD 171238 b,1532.0
Kepler-1669,Kepler-1669 b,9.51216
Kepler-339,Kepler-339 d,10.558345
Kepler-351,Kepler-351 d,142.544247
HAT-P-29,HAT-P-29 b,5.72319
WASP-12,WASP-12 b,1.091418901
WASP-54,WASP-54 b,3.69364
WASP-88,WASP-88 b,4.954
WASP-100,WASP-100 b,2.84938
WASP-26,WASP-26 b,2.7566
WASP-6,WASP-6 b,3.36101
WASP-47,WASP-47 c,589.57
Kepler-1373,Kepler-1373 b,1.29123275
Kepler-1104,Kepler-1104 b,5.03728015
HD 240210,HD 240210 b,501.75
CoRoT-5,CoRoT-5 b,4.0378962
TrES-3,TrES-3 b,1.30618581
Kepler-51,Kepler-51 d,130.194
HD 207832,HD 207832 c,1155.7
HAT-P-39,HAT-P-39 b,3.54387
Kepler-18,Kepler-18 c,7.64159
Kepler-452,Kepler-452 b,384.843
GJ 3998,GJ 3998 b,2.65033
WASP-46,WASP-46 b,1.43036763
WASP-79,WASP-79 b,3.662392
Kepler-46,Kepler-46 c,57.011
Kepler-1499,Kepler-1499 b,44.2008
OGLE-TR-111,OGLE-TR-111 b,4.0144463
HAT-P-13,HAT-P-13 b,2.91625
HAT-P-13,HAT-P-13 c,446.27
MOA-2009-BLG-387L,MOA-2009-BLG-387L b,1980.0
Kepler-18,Kepler-18 b,3.504725
Kepler-18,Kepler-18 d,14.85888
Kepler-33,Kepler-33 c,13.17562
Kepler-32,Kepler-32 c,8.7522
Kepler-166,Kepler-166 d,1.554003928
Kepler-844,Kepler-844 b,2.613020856
Kepler-327,Kepler-327 b,2.549575
Kepler-33,Kepler-33 b,5.66793
Kepler-1455,Kepler-1455 b,49.276764
Kepler-353,Kepler-353 b,5.795278
HIP 41378,HIP 41378 d,1114.0
WASP-62,WASP-62 b,4.41195
TRAPPIST-1,TRAPPIST-1 b,1.510826
WASP-136,WASP-136 b,5.215357
HD 109749,HD 109749 b,5.239891
HD 149143,HD 149143 b,4.07182
HD 231701,HD 231701 b,141.63
TOI-1683,TOI-1683.01,3.0575356
Kepler-213,Kepler-213 b,2.46236
V830 Tau,V830 Tau b,4.927
Kepler-52,Kepler-52 b,7.8773565
Kepler-166,Kepler-166 c,34.260281
GJ 1214,GJ 1214 b,1.580404531
HAT-P-26,HAT-P-26 b,4.23452
GJ 3634,GJ 3634 b,2.64561
HAT-P-4,HAT-P-4 b,3.056536
OGLE-TR-132,OGLE-TR-132 b,1.689868
OGLE-TR-56,OGLE-TR-56 b,1.2119189
Kepler-55,Kepler-55 b,27.9481449
HAT-P-18,HAT-P-18 b,5.508023
Kepler-46,Kepler-46 b,33.60134
WTS-1,WTS-1 b,3.352057
HD 37605,HD 37605 b,55.01292
HIP 14810,HIP 14810 b,6.673892
HIP 14810,HIP 14810 c,147.747
HD 17674,HD 17674 b,623.8
HD 20329,HD 20329 b,0.926118
WASP-5,WASP-5 b,1.6284279
HAT-P-28,HAT-P-28 b,3.257215
47 UMa,47 UMa b,1078.0
47 UMa,47 UMa c,2391.0
BD-08 2823,BD-08 2823 c,237.6
HD 40307,HD 40307 b,4.3123
HD 40307,HD 40307 f,51.76
WASP-59,WASP-59 b,7.919585
HD 190984,HD 190984 b,4885.0
HIP 14810,HIP 14810 d,981.8
HD 207832,HD 207832 b,160.07
HD 1605,HD 1605 b,577.2
Kepler-283,Kepler-283 b,11.008151
HD 33142,HD 33142 b,330.0
CoRoT-6,CoRoT-6 b,8.886593
HD 110014,HD 110014 b,835.477
HD 103774,HD 103774 b,5.8881
HD 109271,HD 109271 b,7.8543
HD 10647,HD 10647 b,989.2
HD 1605,HD 1605 c,2149.0
HD 148164,HD 148164 b,328.55
HD 211810,HD 211810 b,1558.0
Kepler-356,Kepler-356 c,13.121632
Kepler-968,KOI-1833 d,7.685
NY Vir,NY Vir b,3160.0
HIP 5158,HIP 5158 b,345.72
HD 134987,HD 134987 c,5000.0
WASP-64,WASP-64 b,1.5732918
PH1,PH1 b,138.317
Kepler-297,Kepler-297 b,38.871826
Kepler-160,Kepler-160 d,30.0
HD 191939,HD 191939 c,28.579743
PSR B1257+12,PSR B1257+12 b,25.262
PSR B1257+12,PSR B1257+12 d,98.2114
Kepler-1178,Kepler-1178 b,31.80634
Kepler-805,Kepler-805 b,30.8638931
Kepler-158,Kepler-158 d,0.645088
K2-368,K2-368 d,20.201085
HD 148156,HD 148156 b,1027.0
HD 156411,HD 156411 b,842.2
HD 8535,HD 8535 b,1313.0
Kepler-267,Kepler-267 b,3.353728
XO-7,XO-7 b,2.8641424
TRAPPIST-1,TRAPPIST-1 h,18.772866
Kepler-834,Kepler-834 b,13.32388301
Kepler-303,Kepler-303 b,1.937055
Kepler-125,Kepler-125 b,4.164389
GJ 674,GJ 674 b,4.6938
HD 69830,HD 69830 d,197.0
HD 93083,HD 93083 b,143.58
K2-61,K2-61 b,2.57302
ZTF J1828+2308,ZTF J1828+2308 b,0.1120067
GJ 887,GJ 887 c,21.789
CoRoT-17,CoRoT-17 b,3.7681
HD 132563,HD 132563 b,1544.0
Kepler-14,Kepler-14 b,6.790123
UZ For,UZ For c,1916.25
WASP-1,WASP-1 b,2.5199454
HD 221287,HD 221287 b,456.1
HD 47536,HD 47536 b,712.13
HD 11977,HD 11977 b,711.0
HD 62509,HD 62509 b,589.64
WASP-126,WASP-126 b,3.28883
Kepler-901,Kepler-901 b,3.517494394
Kepler-48,Kepler-48 e,982.0
Kepler-407,Kepler-407 c,3000.0
WASP-121,WASP-121 b,1.27492504
Kepler-235,Kepler-235 e,46.183669
Kepler-498,Kepler-498 b,9.61375356
WASP-189,WASP-189 b,2.724033
HD 191939,HD 191939 e,101.12
HD 93963 A,HD 93963 A c,3.6451389
WASP-123,WASP-123 b,2.9776412
Kepler-281,Kepler-281 c,36.337373
TOI-1011,TOI-1011 b,2.470498
Kepler-279,Kepler-279 c,35.736
TOI-1439,TOI-1439 b,27.644
Kepler-16,Kepler-16 b,228.776
GJ 1132,GJ 1132 c,8.929
Kepler-128,Kepler-128 b,15.0
L 98-59,L 98-59 c,3.6906764
Kepler-219,Kepler-219 c,22.714613
Kepler-238,Kepler-238 d,13.233549
Kepler-80,Kepler-80 e,4.64489
Kepler-82,Kepler-82 d,2.382961
WASP-172,WASP-172 b,5.477433
WASP-17,WASP-17 b,3.73543
HIP 41378,HIP 41378 c,31.70648
HIP 41378,HIP 41378 f,1084.0
CoRoT-32,CoRoT-32 b,6.71837
CoRoT-25,CoRoT-25 b,4.86069
HD 205739,HD 205739 b,279.8
CoRoT-3,CoRoT-3 b,4.2568
TOI-1135,TOI-1135 b,8.0277283
HD 112640,HD 112640 b,613.2
Kepler-1921,Kepler-1921 b,20.03479958
MXB 1658-298,MXB 1658-298 b,760.0
Kepler-954,Kepler-954 b,16.78176602
Kepler-1767,Kepler-1767 b,59.65829849
TOI-1736,TOI-1736 c,571.25
Kepler-100,Kepler-100 e,60.888588
Kepler-350,Kepler-350 c,17.849
CoRoT-23,CoRoT-23 b,3.6313
Kepler-42,Kepler-42 b,1.2137672
Oph 11,Oph 11 b,7300000.0
WASP-103,WASP-103 b,0.925542
TOI-1751,TOI-1751 b,37.46852
TOI-1798,TOI-1798.02,0.437811822
TOI-2068,TOI-2068 b,7.768915
Kepler-293,Kepler-293 b,19.254196
Kepler-319,Kepler-319 c,6.941357
Kepler-51,Kepler-51 e,264.284
Kepler-970,Kepler-970 b,16.736525
Kepler-26,Kepler-26 c,17.2559
HD 9446,HD 9446 b,30.052
HD 9446,HD 9446 c,192.9
Kepler-331,Kepler-331 c,17.28111
Kepler-92,Kepler-92 c,26.723
HD 11506,HD 11506 c,223.92
Kepler-42,Kepler-42 c,0.45328509
Kepler-176,Kepler-176 d,25.751974
Kepler-219,Kepler-219 d,47.903645
Kepler-53,Kepler-53 c,38.5583038
Kepler-82,Kepler-82 e,5.902206
TOI-5817,TOI-5817 b,15.61031
Kepler-49,Kepler-49 d,2.576549
Kepler-1002,Kepler-1002 b,4.336429331
Kepler-1752,Kepler-1752 b,56.35850143
Kepler-17,Kepler-17 b,1.4857108
Kepler-903,Kepler-903 b,10.3507721
Kepler-276,Kepler-276 b,14.12841
SWEEPS-11,SWEEPS-11 b,1.796
51 Peg,51 Peg b,4.230785
HD 107148,HD 107148 b,48.056
GJ 876,GJ 876 d,1.93778
GJ 876,GJ 876 e,124.26
WASP-31,WASP-31 b,3.4059096
LTT 9779.00,LTT 9779 b,0.792052
Kepler-287,Kepler-287 b,20.342199
Kepler-176,Kepler-176 b,5.433074
Kepler-177,Kepler-177 b,36.8601
Kepler-1351,Kepler-1351 b,0.916140768
HD 109833,HD 109833 b,9.188526
HD 220773,HD 220773 b,3724.7
HD 108147,HD 108147 b,10.8985
HD 179949,HD 179949 b,3.092514
HD 188015,HD 188015 b,461.2
Kepler-31,Kepler-31 d,87.6451
Kepler-603,Kepler-603 c,127.9075774
Kepler-50,Kepler-50 b,7.81254
24 Sex,24 Sex b,452.8
24 Sex,24 Sex c,883.0
OGLE-2005-BLG-390L,OGLE-2005-BLG-390L b,3285.0
HAT-P-16,HAT-P-16 b,2.77596
alf Ari,alf Ari b,380.8
KOI-55,KOI-55 b,0.240104
HD 177830,HD 177830 c,110.9
ups And,ups And d,1276.46
CoRoT-12,CoRoT-12 b,2.828042
CoRoT-13,CoRoT-13 b,4.03519
WASP-23,WASP-23 b,2.9444256
Kepler-281,Kepler-281 b,14.646008
Kepler-276,Kepler-276 d,48.648
Kepler-139,Kepler-139 c,157.072878
Kepler-353,Kepler-353 c,8.410894
Kepler-1805,Kepler-1805 b,8.847940445
Kepler-48,Kepler-48 d,42.8961
Kepler-100,Kepler-100 b,6.88734
Kepler-102,Kepler-102 f,27.453592
Kepler-1687,Kepler-1687 b,5.77954
GJ 341,GJ 341 b,7.57686
Kepler-1761,Kepler-1761 b,4.043540001
Kepler-988,Kepler-988 b,17.76080053
Kepler-994,Kepler-994 b,1.151166506
HD 46375,HD 46375 b,3.023573
HD 41004 A,HD 41004 A b,963.0
HD 41004 B,HD 41004 B b,1.3283
Kepler-1014,Kepler-1014 b,16.57110363
Kepler-338,Kepler-338 c,24.310856
HD 114783,HD 114783 b,493.7
HD 19994,HD 19994 b,466.2
HD 181433,HD 181433 d,2172.0
HD 196885 A,HD 196885 A b,1333.0
Kepler-34,Kepler-34 b,288.822
Kepler-35,Kepler-35 b,131.458
HD 129445,HD 129445 b,1840.0
HAT-P-20,HAT-P-20 b,2.875317
HAT-P-23,HAT-P-23 b,1.212884
Kepler-339,Kepler-339 c,6.988055
Kepler-881,Kepler-881 b,4.44448017
TOI-2411,TOI-2411 b,0.7826942
gam1 Leo,gam1 Leo b,428.5
BD+20 2457,BD+20 2457 c,621.99
KELT-1,KELT-1 b,1.217514
BD+20 274,BD+20 274 b,578.2
Kepler-127,Kepler-127 c,29.393195
Kepler-324,Kepler-324 c,51.805612
Kepler-973,Kepler-973 b,49.6077331
